time,car_cnt,request_cnt,ride_cnt,waiting_time,fare,distance,target,temp_max,temp_min,rain(mm),humidity_max(%),humidity_min(%),sunshine(MJ/m2),year,month,week,weekday,holiday,7days_waiting_time
2015-02-08,197,1667,1548,28.7,2397,10631,31.5,-0.4,-12.9,0.2,84.0,26.0,10.34,2015,2,6,6,1.0,27.671428571428574
2015-02-09,419,4468,3941,31.5,2217,8662,27.9,5.7,-1.8,0.0,81.0,52.0,5.88,2015,2,7,0,0.0,28.814285714285717
2015-02-10,412,4403,4017,27.9,2189,8354,34.0,7.8,0.3,0.0,95.0,23.0,11.1,2015,2,7,1,0.0,29.471428571428568
2015-02-11,406,4516,3905,34.0,2241,8720,35.3,1.2,-4.6,0.0,54.0,17.0,13.4,2015,2,7,2,0.0,30.571428571428573
2015-02-12,417,4453,3913,35.3,2242,8854,38.2,3.9,-6.2,0.0,67.0,26.0,13.33,2015,2,7,3,0.0,31.62857142857143
2015-02-13,404,4478,3742,38.2,2234,8748,37.9,6.5,-2.9,0.0,88.0,58.0,3.13,2015,2,7,4,0.0,33.25714285714286
2015-02-14,232,2028,1805,37.9,2377,10271,24.7,12.9,3.2,0.0,89.0,40.0,10.41,2015,2,7,5,1.0,33.357142857142854
2015-02-15,198,1647,1554,24.7,2394,10620,41.8,7.9,4.8,9.5,99.0,54.0,1.41,2015,2,7,6,1.0,32.785714285714285
2015-02-16,414,4444,3717,41.8,2190,8329,27.6,4.1,1.0,1.5,98.0,65.0,4.86,2015,2,8,0,0.0,34.25714285714285
2015-02-17,429,4050,3586,27.6,2233,8802,22.6,3.2,-1.4,0.0,83.0,61.0,5.48,2015,2,8,1,0.0,34.214285714285715
2015-02-18,205,1509,1350,22.6,2475,11992,41.4,8.6,-2.7,0.0,87.0,36.0,11.93,2015,2,8,2,1.0,32.58571428571429
2015-02-19,182,1350,1093,41.4,2700,14136,27.6,11.1,-1.3,0.0,84.0,33.0,11.33,2015,2,8,3,1.0,33.457142857142856
2015-02-20,179,1359,1186,27.6,2476,11864,19.8,6.7,4.8,6.5,99.0,48.0,2.74,2015,2,8,4,1.0,31.942857142857147
2015-02-21,211,1447,1322,19.8,2308,9637,22.2,6.9,-0.3,4.0,94.0,53.0,7.29,2015,2,8,5,1.0,29.357142857142858
2015-02-22,195,1532,1454,22.2,2419,11025,27.6,5.6,-2.2,0.0,74.0,37.0,12.64,2015,2,8,6,1.0,29.0
2015-02-23,422,4431,4013,27.6,2232,8836,34.0,7.4,-1.0,0.0,80.0,36.0,13.75,2015,2,9,0,0.0,26.97142857142857
2015-02-24,419,4420,3878,34.0,2221,8646,36.1,12.2,0.3,0.0,81.0,22.0,11.32,2015,2,9,1,0.0,27.88571428571429
2015-02-25,418,4562,3981,36.1,2253,8917,34.5,4.7,-3.4,1.0,91.0,31.0,12.37,2015,2,9,2,0.0,29.814285714285717
2015-02-26,425,4366,3889,34.5,2258,8935,27.6,4.7,-5.5,0.0,48.0,23.0,15.22,2015,2,9,3,0.0,28.82857142857143
2015-02-27,427,4427,3968,27.6,2214,8584,45.3,6.3,-1.9,0.0,51.0,29.0,5.9,2015,2,9,4,0.0,28.828571428571426
2015-02-28,224,2097,1780,45.3,2364,10142,29.8,5.1,0.6,0.0,76.0,42.0,9.47,2015,2,9,5,1.0,32.471428571428575
2015-03-01,195,1719,1604,29.8,2436,11122,28.4,9.0,-1.9,0.0,72.0,26.0,15.5,2015,3,9,6,1.0,33.55714285714286
2015-03-02,442,4597,4120,28.4,2216,8583,32.8,6.7,-0.4,5.5,97.0,25.0,4.6,2015,3,10,0,0.0,33.67142857142857
2015-03-03,447,4599,4058,32.8,2184,8209,31.0,1.3,-4.5,0.0,60.0,32.0,16.79,2015,3,10,1,0.0,33.5
2015-03-04,442,4545,4089,31.0,2232,8693,29.9,5.2,-5.1,0.0,65.0,21.0,12.96,2015,3,10,2,0.0,32.771428571428565
2015-03-05,441,4598,4065,29.9,2236,8657,27.7,9.8,-3.1,0.0,56.0,18.0,16.17,2015,3,10,3,0.0,32.114285714285714
2015-03-06,447,4581,4143,27.7,2238,8744,37.7,10.6,-2.3,0.0,70.0,21.0,16.0,2015,3,10,4,0.0,32.128571428571426
2015-03-07,258,2042,1797,37.7,2406,10630,32.8,15.0,0.4,0.0,67.0,20.0,13.63,2015,3,10,5,1.0,31.04285714285714
2015-03-08,204,1807,1644,32.8,2447,11156,28.0,8.2,-5.0,0.0,67.0,21.0,15.27,2015,3,10,6,1.0,31.47142857142857
2015-03-09,442,4653,4251,28.0,2196,8335,28.9,0.9,-6.8,0.0,37.0,20.0,18.52,2015,3,11,0,0.0,31.41428571428571
2015-03-10,468,4669,4239,28.9,2209,8514,26.2,6.7,-5.0,0.0,55.0,27.0,12.06,2015,3,11,1,0.0,30.857142857142854
2015-03-11,460,4580,4193,26.2,2245,8867,24.7,6.5,-3.4,0.0,54.0,26.0,17.66,2015,3,11,2,0.0,30.171428571428574
2015-03-12,472,4523,4135,24.7,2228,8646,24.7,10.2,2.3,0.1,84.0,17.0,18.08,2015,3,11,3,0.0,29.428571428571427
2015-03-13,475,4561,4154,24.7,2183,8369,44.8,11.5,-0.9,0.0,47.0,18.0,16.81,2015,3,11,4,0.0,28.999999999999996
2015-03-14,247,2057,1756,44.8,2428,10972,32.7,12.2,0.1,0.0,61.0,16.0,15.39,2015,3,11,5,1.0,30.014285714285712
2015-03-15,229,1756,1579,32.7,2475,11457,25.5,18.5,1.4,0.0,73.0,20.0,16.19,2015,3,11,6,1.0,30.0
2015-03-16,468,4614,4195,25.5,2221,8739,26.0,16.0,6.9,0.0,62.0,31.0,5.91,2015,3,12,0,0.0,29.642857142857142
2015-03-17,472,4723,4313,26.0,2217,8512,27.5,14.2,8.5,1.5,81.0,42.0,4.62,2015,3,12,1,0.0,29.22857142857143
2015-03-18,481,4679,4157,27.5,2227,8579,26.1,20.9,6.5,0.0,72.0,26.0,16.82,2015,3,12,2,0.0,29.41428571428571
2015-03-19,465,4505,4103,26.1,2247,9010,23.8,21.5,7.6,0.0,64.0,11.0,15.98,2015,3,12,3,0.0,29.614285714285717
2015-03-20,476,4528,4128,23.8,2221,8668,46.0,17.7,7.0,0.0,52.0,20.0,14.97,2015,3,12,4,0.0,29.485714285714288
2015-03-21,235,2139,1784,46.0,2461,11216,29.6,14.8,2.8,0.0,69.0,9.0,18.36,2015,3,12,5,1.0,29.657142857142862
2015-03-22,209,1829,1709,29.6,2434,11059,28.7,9.6,0.3,0.0,30.0,13.0,19.17,2015,3,12,6,1.0,29.21428571428572
2015-03-23,457,4564,4126,28.7,2233,8796,30.3,11.8,-0.8,0.0,61.0,11.0,19.59,2015,3,13,0,0.0,29.67142857142857
2015-03-24,458,4659,4220,30.3,2242,8825,27.3,13.9,0.1,0.0,79.0,18.0,18.79,2015,3,13,1,0.0,30.285714285714285
2015-03-25,460,4683,4262,27.3,2232,8728,27.1,14.8,1.6,0.0,68.0,25.0,19.14,2015,3,13,2,0.0,30.257142857142856
2015-03-26,466,4533,4082,27.1,2241,8883,25.9,16.2,3.2,0.0,86.0,23.0,18.41,2015,3,13,3,0.0,30.400000000000002
2015-03-27,474,4586,4135,25.9,2228,8712,49.9,16.7,2.7,0.0,69.0,14.0,17.9,2015,3,13,4,0.0,30.7
2015-03-28,233,2129,1759,49.9,2460,11282,31.6,16.0,7.1,0.0,80.0,31.0,12.83,2015,3,13,5,1.0,31.257142857142856
2015-03-29,203,1730,1579,31.6,2437,11067,26.8,20.5,6.0,0.0,87.0,23.0,17.94,2015,3,13,6,1.0,31.54285714285714
2015-03-30,456,4561,4139,26.8,2243,8887,28.0,14.8,10.2,0.2,99.0,65.0,3.09,2015,3,14,0,0.0,31.271428571428572
2015-03-31,435,4720,4251,28.0,2219,8475,28.4,17.4,10.7,4.8,100.0,41.0,14.44,2015,3,14,1,0.0,30.942857142857143
2015-04-01,459,4488,4091,28.4,2250,8994,25.6,21.8,8.5,26.5,98.0,42.0,11.5,2015,4,14,2,0.0,31.1
2015-04-02,478,4674,4209,25.6,2219,8554,24.0,15.1,7.0,5.0,99.0,63.0,7.42,2015,4,14,3,0.0,30.885714285714283
2015-04-03,478,4521,4081,24.0,2221,8631,38.9,18.5,9.0,0.0,79.0,32.0,12.62,2015,4,14,4,0.0,30.614285714285717
2015-04-04,253,2152,1892,38.9,2421,10739,29.4,12.2,10.1,0.5,90.0,56.0,2.89,2015,4,14,5,1.0,29.042857142857144
2015-04-05,219,1936,1763,29.4,2421,10968,29.0,15.0,7.4,0.0,89.0,34.0,10.2,2015,4,14,6,1.0,28.728571428571428
2015-04-06,456,4658,4226,29.0,2244,8926,30.3,11.9,5.7,0.0,68.0,49.0,10.17,2015,4,15,0,0.0,29.04285714285714
2015-04-07,462,4679,4256,30.3,2223,8659,33.7,13.6,3.7,0.0,73.0,34.0,14.69,2015,4,15,1,0.0,29.37142857142857
2015-04-08,458,4718,4199,33.7,2267,9139,30.6,16.2,3.8,0.0,62.0,28.0,18.2,2015,4,15,2,0.0,30.128571428571426
2015-04-09,458,4720,4223,30.6,2251,9035,33.3,18.7,4.7,0.0,62.0,21.0,20.67,2015,4,15,3,0.0,30.842857142857145
2015-04-10,457,4670,4144,33.3,2250,8993,52.5,20.4,6.9,0.0,65.0,19.0,19.87,2015,4,15,4,0.0,32.17142857142857
2015-04-11,251,2273,1805,52.5,2489,11571,37.0,20.2,9.1,0.0,46.0,18.0,12.6,2015,4,15,5,1.0,34.114285714285714
2015-04-12,212,2013,1829,37.0,2495,11701,34.4,17.1,7.5,5.5,90.0,32.0,14.89,2015,4,15,6,1.0,35.2
2015-04-13,465,4864,4314,34.4,2230,8789,31.8,7.8,5.8,11.5,95.0,85.0,5.33,2015,4,16,0,0.0,35.971428571428575
2015-04-14,475,4760,4211,31.8,2214,8506,35.5,16.8,5.6,1.0,96.0,47.0,16.51,2015,4,16,1,0.0,36.18571428571429
2015-04-15,458,4819,4223,35.5,2279,9209,33.6,14.5,7.7,7.0,97.0,55.0,3.64,2015,4,16,2,0.0,36.44285714285714
2015-04-16,458,4682,4141,33.6,2225,8782,36.7,15.9,5.0,0.0,72.0,24.0,22.45,2015,4,16,3,0.0,36.87142857142857
2015-04-17,444,4804,4108,36.7,2235,8838,62.8,23.4,5.3,0.0,63.0,14.0,19.74,2015,4,16,4,0.0,37.357142857142854
2015-04-18,234,2222,1707,62.8,2480,11319,32.1,17.2,11.6,11.5,99.0,24.0,5.15,2015,4,16,5,1.0,38.82857142857143
2015-04-19,215,1851,1664,32.1,2431,10735,45.4,16.5,10.4,6.0,97.0,51.0,8.68,2015,4,16,6,1.0,38.128571428571426
2015-04-20,466,5379,4382,45.4,2258,9128,33.7,20.6,7.9,0.0,89.0,15.0,22.93,2015,4,17,0,0.0,39.699999999999996
2015-04-21,470,5014,4432,33.7,2247,8890,31.9,20.3,9.4,0.0,63.0,25.0,19.32,2015,4,17,1,0.0,39.971428571428575
2015-04-22,459,4799,4264,31.9,2251,8895,31.7,20.0,8.1,0.0,76.0,18.0,21.03,2015,4,17,2,0.0,39.457142857142856
2015-04-23,474,4837,4333,31.7,2258,9131,30.4,22.6,10.6,0.0,70.0,17.0,22.53,2015,4,17,3,0.0,39.18571428571429
2015-04-24,461,4757,4121,30.4,2255,9159,57.1,22.7,9.2,0.0,50.0,14.0,22.89,2015,4,17,4,0.0,38.285714285714285
2015-04-25,233,2288,1789,57.1,2463,11395,33.8,23.9,9.9,0.0,63.0,18.0,20.92,2015,4,17,5,1.0,37.471428571428575
2015-04-26,219,1941,1785,33.8,2468,11459,35.9,24.7,12.8,0.0,68.0,21.0,22.03,2015,4,17,6,1.0,37.714285714285715
2015-04-27,445,4708,4183,35.9,2252,9014,34.8,26.4,12.4,0.0,63.0,20.0,19.07,2015,4,18,0,0.0,36.357142857142854
2015-04-28,472,4962,4376,34.8,2259,9035,45.4,18.4,15.8,3.5,92.0,65.0,5.86,2015,4,18,1,0.0,36.51428571428571
2015-04-29,456,5014,4108,45.4,2267,9103,34.6,27.9,15.3,0.0,83.0,34.0,21.6,2015,4,18,2,0.0,38.44285714285714
2015-04-30,480,4835,4130,34.6,2282,9401,21.8,27.0,16.0,0.0,77.0,42.0,22.13,2015,4,18,3,0.0,38.857142857142854
2015-05-01,396,3073,2379,21.8,2319,9869,34.9,25.6,15.8,0.5,88.0,43.0,15.24,2015,5,18,4,0.0,37.628571428571426
2015-05-02,250,2145,1879,34.9,2410,10807,30.8,19.5,17.1,3.5,98.0,83.0,5.26,2015,5,18,5,1.0,34.457142857142856
2015-05-03,218,1852,1684,30.8,2433,10995,26.5,20.1,12.7,0.0,98.0,14.0,24.18,2015,5,18,6,1.0,34.028571428571425
2015-05-04,442,4397,3768,26.5,2254,9116,22.1,19.6,8.4,0.0,62.0,16.0,25.05,2015,5,19,0,0.0,32.68571428571428
2015-05-05,289,1753,1593,22.1,2433,10863,35.2,21.8,10.0,0.0,52.0,17.0,16.16,2015,5,19,1,1.0,30.87142857142857
2015-05-06,461,4783,4183,35.2,2265,9105,39.0,23.7,10.7,0.0,59.0,16.0,18.9,2015,5,19,2,0.0,29.414285714285715
2015-05-07,445,4762,4091,39.0,2264,9109,37.2,22.3,11.7,0.0,91.0,44.0,14.53,2015,5,19,3,0.0,30.042857142857144
2015-05-08,480,4739,4019,37.2,2282,9375,50.0,23.8,12.6,0.0,71.0,38.0,21.61,2015,5,19,4,0.0,32.24285714285714
2015-05-09,259,2230,1839,50.0,2451,11190,33.3,25.6,13.7,0.0,63.0,18.0,23.43,2015,5,19,5,1.0,34.4
2015-05-10,230,1949,1781,33.3,2507,11814,37.4,24.0,14.6,13.0,98.0,34.0,13.34,2015,5,19,6,1.0,34.75714285714286
2015-05-11,450,4931,4239,37.4,2255,9056,31.5,17.5,10.3,10.5,99.0,52.0,12.77,2015,5,20,0,0.0,36.31428571428572
2015-05-12,450,4785,4266,31.5,2224,8656,37.5,20.9,11.8,0.0,77.0,46.0,23.36,2015,5,20,1,0.0,37.65714285714286
2015-05-13,444,4721,4141,37.5,2286,9284,34.5,26.3,15.3,0.0,81.0,47.0,19.15,2015,5,20,2,0.0,37.98571428571428
2015-05-14,451,4774,4147,34.5,2274,9041,35.1,23.6,16.3,0.0,90.0,47.0,10.61,2015,5,20,3,0.0,37.34285714285714
2015-05-15,462,4679,4059,35.1,2262,9193,51.8,24.9,11.6,0.0,64.0,19.0,25.62,2015,5,20,4,0.0,37.042857142857144
2015-05-16,258,2192,1780,51.8,2458,11209,30.7,25.1,11.8,0.0,82.0,15.0,21.24,2015,5,20,5,1.0,37.300000000000004
2015-05-17,241,1960,1814,30.7,2481,11404,34.0,22.2,13.7,0.0,80.0,32.0,13.57,2015,5,20,6,1.0,36.92857142857143
2015-05-18,439,4644,4067,34.0,2260,9041,40.5,16.1,13.2,1.0,96.0,83.0,3.31,2015,5,21,0,0.0,36.44285714285714
2015-05-19,449,4939,4167,40.5,2234,8741,38.2,21.9,10.7,0.0,95.0,34.0,24.87,2015,5,21,1,0.0,37.728571428571435
2015-05-20,444,4734,4088,38.2,2257,9044,36.4,25.5,12.9,0.0,70.0,24.0,24.6,2015,5,21,2,0.0,37.82857142857143
2015-05-21,456,4896,4299,36.4,2276,9149,40.1,27.2,13.7,0.0,69.0,25.0,24.5,2015,5,21,3,0.0,38.1
2015-05-22,447,4754,3982,40.1,2265,9153,46.8,28.0,13.7,0.0,66.0,19.0,23.67,2015,5,21,4,0.0,38.81428571428571
2015-05-23,252,2302,1930,46.8,2396,10668,32.3,28.3,14.1,0.0,55.0,18.0,25.64,2015,5,21,5,1.0,38.1
2015-05-24,218,1902,1733,32.3,2471,11425,26.1,28.7,14.5,0.0,77.0,27.0,24.39,2015,5,21,6,1.0,38.32857142857143
2015-05-25,268,1834,1618,26.1,2443,11223,40.9,30.0,14.2,0.0,83.0,19.0,25.46,2015,5,22,0,1.0,37.199999999999996
2015-05-26,440,4898,4193,40.9,2249,8978,41.9,31.2,14.6,0.0,69.0,14.0,25.76,2015,5,22,1,0.0,37.25714285714286
2015-05-27,451,4945,4217,41.9,2256,9029,43.6,31.8,16.7,0.0,41.0,16.0,23.3,2015,5,22,2,0.0,37.785714285714285
2015-05-28,436,4819,4044,43.6,2283,9327,38.8,29.4,18.6,0.0,48.0,23.0,18.44,2015,5,22,3,0.0,38.81428571428571
2015-05-29,447,4727,4048,38.8,2252,9098,44.4,22.8,17.7,0.4,81.0,50.0,9.2,2015,5,22,4,0.0,38.628571428571426
2015-05-30,260,2225,1858,44.4,2434,10976,28.8,30.0,15.4,0.0,93.0,20.0,23.66,2015,5,22,5,1.0,38.285714285714285
2015-05-31,235,1903,1737,28.8,2437,11106,31.5,27.7,15.9,0.0,63.0,25.0,20.01,2015,5,22,6,1.0,37.785714285714285
2015-06-01,461,4827,4282,31.5,2243,8920,32.3,29.6,18.2,0.0,62.0,26.0,21.87,2015,6,23,0,0.0,38.55714285714286
2015-06-02,458,4779,4245,32.3,2247,8878,29.5,29.1,17.1,0.0,71.0,14.0,26.58,2015,6,23,1,0.0,37.32857142857143
2015-06-03,450,4517,3986,29.5,2255,9027,24.9,31.3,17.2,0.0,42.0,16.0,0.0,2015,6,23,2,0.0,35.55714285714286
2015-06-04,456,4256,3759,24.9,2255,9015,23.5,22.0,17.5,1.0,79.0,27.0,5.94,2015,6,23,3,0.0,32.885714285714286
2015-06-05,469,4138,3558,23.5,2238,8844,21.3,28.7,16.4,0.0,76.0,31.0,23.09,2015,6,23,4,0.0,30.7
2015-06-06,242,1438,1310,21.3,2445,11160,21.0,31.4,18.7,0.0,70.0,25.0,20.45,2015,6,23,5,1.0,27.4
2015-06-07,225,1526,1424,21.0,2453,11152,19.9,27.6,18.2,0.0,70.0,36.0,14.74,2015,6,23,6,1.0,26.285714285714285
2015-06-08,458,3915,3392,19.9,2213,8611,19.6,27.7,18.9,0.0,81.0,39.0,19.71,2015,6,24,0,0.0,24.62857142857143
2015-06-09,459,3814,3289,19.6,2222,8714,19.7,34.6,17.7,0.0,85.0,20.0,23.47,2015,6,24,1,0.0,22.814285714285713
2015-06-10,450,3529,3061,19.7,2251,8872,17.8,29.9,20.8,2.0,88.0,26.0,11.53,2015,6,24,2,0.0,21.414285714285715
2015-06-11,462,3410,2938,17.8,2249,8863,19.0,29.5,19.4,6.0,99.0,34.0,22.5,2015,6,24,3,0.0,20.4
2015-06-12,464,3450,2997,19.0,2251,9116,25.4,30.8,20.2,0.5,75.0,42.0,16.79,2015,6,24,4,0.0,19.757142857142856
2015-06-13,228,1605,1464,25.4,2403,10512,22.3,27.6,17.9,15.5,99.0,47.0,19.52,2015,6,24,5,1.0,20.342857142857145
2015-06-14,196,1477,1367,22.3,2435,10733,24.3,30.2,19.7,0.0,85.0,40.0,18.62,2015,6,24,6,1.0,20.52857142857143
2015-06-15,426,3753,3257,24.3,2229,8714,20.1,30.7,20.0,0.0,86.0,45.0,21.08,2015,6,25,0,0.0,21.157142857142855
2015-06-16,449,3834,3372,20.1,2216,8537,21.6,30.1,20.5,0.5,86.0,40.0,15.34,2015,6,25,1,0.0,21.22857142857143
2015-06-17,453,3706,3252,21.6,2252,8892,20.7,30.7,19.7,12.0,98.0,34.0,20.21,2015,6,25,2,0.0,21.5
2015-06-18,454,3681,3311,20.7,2256,8944,21.8,29.7,20.0,0.0,70.0,43.0,18.87,2015,6,25,3,0.0,21.914285714285715
2015-06-19,458,3755,3304,21.8,2265,9101,31.2,22.6,17.7,44.5,98.0,73.0,3.25,2015,6,25,4,0.0,22.314285714285717
2015-06-20,219,1624,1430,31.2,2380,10263,26.4,29.2,15.7,0.0,100.0,38.0,23.21,2015,6,25,5,1.0,23.142857142857142
2015-06-21,196,1610,1467,26.4,2416,10724,22.8,28.9,19.4,0.0,81.0,44.0,21.88,2015,6,25,6,1.0,23.728571428571428
2015-06-22,461,4096,3672,22.8,2229,8898,22.9,30.4,19.8,0.0,86.0,42.0,20.76,2015,6,26,0,0.0,23.514285714285716
2015-06-23,459,4162,3726,22.9,2221,8637,24.3,30.2,21.2,0.0,80.0,41.0,18.02,2015,6,26,1,0.0,23.91428571428571
2015-06-24,442,4033,3663,24.3,2223,8669,27.8,28.8,21.3,1.5,83.0,46.0,11.93,2015,6,26,2,0.0,24.3
2015-06-25,433,4227,3671,27.8,2229,8871,26.3,25.1,18.1,13.0,98.0,56.0,10.37,2015,6,26,3,0.0,25.314285714285717
2015-06-26,457,4095,3620,26.3,2232,8787,39.3,31.0,19.3,0.0,74.0,36.0,26.17,2015,6,26,4,0.0,25.957142857142856
2015-06-27,208,1798,1551,39.3,2413,10625,30.4,31.0,21.0,0.0,82.0,44.0,23.32,2015,6,26,5,1.0,27.114285714285717
2015-06-28,202,1670,1567,30.4,2428,11008,23.6,30.3,21.3,0.0,82.0,44.0,22.5,2015,6,26,6,1.0,27.685714285714287
2015-06-29,480,4349,3920,23.6,2218,8722,27.0,28.9,22.0,2.5,87.0,50.0,8.49,2015,6,27,0,0.0,27.8
2015-06-30,455,4360,3876,27.0,2211,8638,26.1,27.9,21.0,0.5,88.0,41.0,23.03,2015,6,27,1,0.0,28.38571428571429
2015-07-01,464,4286,3875,26.1,2227,8786,26.0,29.0,20.4,0.0,85.0,29.0,20.63,2015,7,27,2,0.0,28.642857142857142
2015-07-02,461,4451,4008,26.0,2233,8763,27.6,28.1,19.3,0.0,91.0,34.0,22.48,2015,7,27,3,0.0,28.385714285714283
2015-07-03,457,4386,3956,27.6,2229,8759,39.1,29.7,18.3,0.0,77.0,31.0,20.86,2015,7,27,4,0.0,28.571428571428573
2015-07-04,233,1962,1696,39.1,2417,10977,27.3,29.6,20.1,0.0,77.0,39.0,18.23,2015,7,27,5,1.0,28.542857142857144
2015-07-05,218,1751,1643,27.3,2408,10808,28.8,32.4,20.3,0.0,78.0,32.0,20.44,2015,7,27,6,1.0,28.1
2015-07-06,459,4545,4131,28.8,2214,8593,27.0,29.5,21.5,0.0,65.0,39.0,14.8,2015,7,28,0,0.0,28.842857142857145
